series,label,theme
B11001_001E,total_households,households
B01001_001E,total_pop,population
B01001_003E,pop_M_0_5,population
B01001_004E,pop_M_5_9,population
B01001_005E,pop_M_10_14,population
B01001_006E,pop_M_15_17,population
B01001_007E,pop_M_18_19,population
B01001_008E,pop_M_20,population
B01001_009E,pop_M_21,population
B01001_010E,pop_M_22_24,population
B01001_011E,pop_M_25_29,population
B01001_012E,pop_M_30_34,population
B01001_013E,pop_M_35_39,population
B01001_014E,pop_M_40_44,population
B01001_015E,pop_M_45_49,population
B01001_016E,pop_M_50_54,population
B01001_017E,pop_M_55_59,population
B01001_018E,pop_M_60_61,population
B01001_019E,pop_M_62_64,population
B01001_020E,pop_M_65_66,population
B01001_021E,pop_M_67_69,population
B01001_022E,pop_M_70_74,population
B01001_023E,pop_M_75_79,population
B01001_024E,pop_M_80_84,population
B01001_025E,pop_M_85,population
B01001_027E,pop_F_0_5,population
B01001_028E,pop_F_5_9,population
B01001_029E,pop_F_10_14,population
B01001_030E,pop_F_15_17,population
B01001_031E,pop_F_18_19,population
B01001_032E,pop_F_20,population
B01001_033E,pop_F_21,population
B01001_034E,pop_F_22_24,population
B01001_035E,pop_F_25_29,population
B01001_036E,pop_F_30_34,population
B01001_037E,pop_F_35_39,population
B01001_038E,pop_F_40_44,population
B01001_039E,pop_F_45_49,population
B01001_040E,pop_F_50_54,population
B01001_041E,pop_F_55_59,population
B01001_042E,pop_F_60_61,population
B01001_043E,pop_F_62_64,population
B01001_044E,pop_F_65_66,population
B01001_045E,pop_F_67_69,population
B01001_046E,pop_F_70_74,population
B01001_047E,pop_F_75_79,population
B01001_048E,pop_F_80_84,population
B01001_049E,pop_F_85,population
B17001_001E,pov_status,poverty
B17001_002E,pov_below_last12,poverty
,,
B23001_008E,unemp_M_16_19,unemployment
B23001_015E,unemp_M_20_21,unemployment
B23001_022E,unemp_M_22_24,unemployment
B23001_029E,unemp_M_25_29,unemployment
B23001_036E,unemp_M_30_34,unemployment
B23001_043E,unemp_M_35_44,unemployment
B23001_050E,unemp_M_45_54,unemployment
B23001_057E,unemp_M_55_59,unemployment
B23001_064E,unemp_M_60_61,unemployment
B23001_071E,unemp_62_64,unemployment
,,
B23001_094E,unemp_F_16_19,unemployment
B23001_101E,unemp_F_20_21,unemployment
B23001_108E,unemp_F_22_24,unemployment
B23001_115E,unemp_F_25_29,unemployment
B23001_122E,unemp_F_30_34,unemployment
B23001_129E,unemp_F_35_44,unemployment
B23001_136E,unemp_F_45_54,unemployment
B23001_143E,unemp_F_55_59,unemployment
B23001_150E,unemp_F_60_61,unemployment
B23001_157E,unemp_62_64,unemployment
,,
B23001_004E,labor_force_M_16_19,unemployment
B23001_011E,labor_force_M_20_21,unemployment
B23001_018E,labor_force_M_22_24,unemployment
B23001_025E,labor_force_M_25_29,unemployment
B23001_032E,labor_force_M_30_34,unemployment
B23001_039E,labor_force_M_35_44,unemployment
B23001_046E,labor_force_M_45_54,unemployment
B23001_053E,labor_force_M_55_59,unemployment
B23001_060E,labor_force_M_60_61,unemployment
B23001_067E,labor_force_M_62_64,unemployment
,,
B23001_090E,labor_force_F_16_19,unemployment
B23001_097E,labor_force_F_20_21,unemployment
B23001_104E,labor_force_F_22_24,unemployment
B23001_111E,labor_force_F_25_29,unemployment
B23001_118E,labor_force_F_30_34,unemployment
B23001_125E,labor_force_F_35_44,unemployment
B23001_132E,labor_force_F_45_54,unemployment
B23001_139E,labor_force_F_55_59,unemployment
B23001_146E,labor_force_F_60_61,unemployment
B23001_153E,labor_force_F_62_64,unemployment
,,
B15001_011E,total_M_25_34,education
B15001_013E,M_25_34_nodiploma,education
B15001_019E,total_M_35_44,education
B15001_021E,M_35_44_nodiploma,education
B15001_027E,total_M_45_64,education
B15001_029E,M_45_64_nodiploma,education
B15001_035E,total_M_65_over,education
B15001_037E,M_65_over_nodiploma,education
,,
B15001_052E,total_F_25_34,education
B15001_054E,F_25_34_nodiploma,education
B15001_060E,total_F_35_44,education
B15001_062E,F_35_44_nodiploma,education
B15001_068E,total_F_45_64,education
B15001_070E,F_45_64_nodiploma,education
B15001_076E,total_F_65_over,education
B15001_078E,F_65_over_nodiploma,education
,,
B19301_001E,per_capita_income,income
,,
B27001_005E,M_0_6_noins,insured
B27001_008E,M_6_17_noins,insured
B27001_011E,M_18_24_noins,insured
B27001_014E,M_25_34_noins,insured
B27001_017E,M_35_44_noins,insured
B27001_020E,M_45_54_noins,insured
B27001_023E,M_55_64_noins,insured
,,
B27001_033E,F_0_6_noins,insured
B27001_036E,F_6_17_noins,insured
B27001_039E,F_18_24_noins,insured
B27001_042E,F_25_34_noins,insured
B27001_045E,F_35_44_noins,insured
B27001_048E,F_45_54_noins,insured
B27001_051E,F_55_64_noins,insured
,,
,,
B18101_004E,dis_m_5,
B18101_007E,dis_m_5_17,
B18101_010E,dis_m_18_34,
B18101_013E,dis_m_35_64,
B18101_023E,dis_f_5,
B18101_026E,dis_f_5_17,
B18101_029E,dis_f_18_34,
B18101_032E,dis_f_35_64,
